title,body,url,labels
Formatting error in python notebooks leading to crash,"
Type: <b>Performance Issue</b>

I have been using Claude Sonnet 4 for writing this notebook but the changes it made are not correctly formatted (internally) due to which the markdowns of this notebook is not visible any more nor the cell outputs (Note: all the code is correctly formatted and visible). VSCode also keeps throwing an error that it is not responding and do I want to keep waiting, or close.
This is the second time I am encountering this and the first time I had to delete the notebook in order to solve it.
I have never faced this issue using Claude 3.7 Thinking so far even though I have used it a lot too so it likely an issue with Claude 4.
Since I am not able to see the markdowns at all now, I am not able to check which markdown cell is exactly causing it.

VS Code version: Code 1.101.0 (dfaf44141ea9deb3b4096f7cd6d24e00c147a4b1, 2025-06-11T15:00:50.123Z)
OS version: Windows_NT x64 10.0.26100
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (16 x 2304)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|undefined|
|Memory (System)|15.71GB (5.75GB free)|
|Process Argv|--crash-reporter-id 857a9a0f-6316-43b9-8384-df82d6437f9e|
|Screen Reader|no|
|VM|0%|
</details><details>
<summary>Process Info</summary>

```
CPU %	Mem MB	   PID	Process
    0	   171	 17932	code
    6	   169	  5032	   window
    0	    32	  5108	   crashpad-handler
    0	   121	  6720	pty-host
    0	    95	  3116	     ""C:\Program Files\PowerShell\7\pwsh.exe"" -noexit -command ""try { . \""c:\Users\komil\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}""
    0	     9	  8460	     conpty-agent
    0	     9	 13680	     conpty-agent
    0	    95	 20364	     ""C:\Program Files\PowerShell\7\pwsh.exe"" -noexit -command ""try { . \""c:\Users\komil\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}""
    0	  1116	  8952	extension-host [3]
    0	   108	 20200	     ""C:\Users\komil\AppData\Local\Programs\Microsoft VS Code\Code.exe"" ""c:\Users\komil\AppData\Local\Programs\Microsoft VS Code\resources\app\extensions\json-language-features\server\dist\node\jsonServerMain"" --node-ipc --clientProcessId=8952
    0	   109	 22968	     ""C:\Users\komil\AppData\Local\Programs\Microsoft VS Code\Code.exe"" ""c:\Users\komil\AppData\Local\Programs\Microsoft VS Code\resources\app\extensions\markdown-language-features\dist\serverWorkerMain"" --node-ipc --clientProcessId=8952
    0	   122	  9544	file-watcher [3]
    0	   155	 12352	shared-process
    0	   250	 18680	   gpu-process
    0	    50	 19952	   utility-network-service
    0	   398	 21168	window [3] (automated_feature_engineering_featuretools_backup.ipynb - pythonProject - Visual Studio Code)
```

</details>
<details>
<summary>Workspace Info</summary>

```
|  Window (automated_feature_engineering_featuretools_backup.ipynb - pythonProject - Visual Studio Code)
|    Folder (pythonProject): more than 20881 files
|      File types: py(4968) pyc(4936) pyi(2160) rst(2078) cmake(1396) mo(365)
|                  h(288) cpp(184) txt(182) in(107)
|      Conf files: cmake(1396) makefile(4) sln(1);
```

</details>
<details><summary>Extensions (25)</summary>

Extension|Author (truncated)|Version
---|---|---
es7-react-js-snippets|dsz|4.4.3
prettier-vscode|esb|11.0.0
codespaces|Git|1.17.3
copilot|Git|1.335.0
copilot-chat|Git|0.28.0
remotehub|Git|0.64.0
vscode-pull-request-github|Git|0.110.0
rainbow-csv|mec|3.19.0
debugpy|ms-|2025.8.0
python|ms-|2025.6.1
jupyter|ms-|2025.5.0
jupyter-keymap|ms-|1.1.2
jupyter-renderers|ms-|1.1.0
vscode-jupyter-cell-tags|ms-|0.1.9
vscode-jupyter-slideshow|ms-|0.1.6
remote-ssh|ms-|0.120.0
remote-ssh-edit|ms-|0.87.0
remote-wsl|ms-|0.99.0
remote-wsl-recommender|ms-|0.0.20
vscode-remote-extensionpack|ms-|0.26.0
remote-explorer|ms-|0.5.0
remote-repositories|ms-|0.42.0
remote-server|ms-|1.5.2
material-icon-theme|PKi|5.23.0
html5-boilerplate|sid|1.1.1

(1 theme extensions excluded)

</details><details>
<summary>A/B Experiments</summary>

```
vsliv368cf:30146710
vspor879:30202332
vspor708:30202333
vspor363:30204092
pythonvspyt551cf:31249601
vscod805cf:30301675
binariesv615:30325510
c4g48928:30535728
azure-dev_surveyone:30548225
vscrpc:30673769
2i9eh265:30646982
962ge761:30959799
h48ei257:31000450
pythontbext0:30879054
cppperfnew:31000557
dwnewjupyter:31046869
pythonrstrctxt:31112756
nativeloc2:31192216
5fd0e150:31155592
dwcopilot:31170013
6074i472:31201624
dwoutputs:31242946
customenabled:31248079
9064b325:31222308
copilot_t_ci:31222730
e5gg6876:31282496
pythoneinst12:31285622
bgtreat:31268568
4gafe986:31271826
c7cif404:31314491
pythonpulldiag:31325930
996jf627:31283433
pythonrdcb7:31303018
usemplatestapi:31297334
0aa6g176:31307128
7bj51361:31289155
747dc170:31275177
9hi5e907:31325879
aj953862:31281341
generatesymbolt:31295002
convertfstringf:31295003
gendocf:31295004
d784b465:31327030

```

</details>

<!-- generated by issue reporter -->",https://github.com/microsoft/vscode/issues/251524,"triage-needed, new release"
#MOHAMED,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions -->
<!-- 🔎 Search existing issues to avoid creating duplicates. -->
<!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ -->
<!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. -->
<!-- 🔧 Launch with `code --disable-extensions` to check. -->
Does this issue occur when all extensions are disabled?: Yes/No

<!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. -->
<!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. -->
- VS Code Version: 
- OS Version: 

Steps to Reproduce:

1. 
2.",https://github.com/microsoft/vscode/issues/251523,"invalid, triage-needed"
System malfunction,"> <!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ -->

<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions -->
<!-- 🔎 Search existing issues to avoid creating duplicates. -->
<!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ -->
<!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. -->
<!-- 🔧 Launch with `code --disable-extensions` to check. -->
Does this issue occur when all extensions are disabled?: Yes/No

<!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. -->
<!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. -->
- VS Code Version: 
- OS Version: 

Steps to Reproduce:

1. 
2. 
",https://github.com/microsoft/vscode/issues/251521,"*duplicate, triage-needed"
Can,"<!-- ⚠️⚠️ Do Not Delete This! feature_request_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- Please search existing issues to avoid creating duplicates. -->

<!-- Describe the feature you'd like. -->",https://github.com/microsoft/vscode/issues/251505,triage-needed
Duplicate workspace in new window does not read the old folder as root,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions -->
<!-- 🔎 Search existing issues to avoid creating duplicates. -->
<!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ -->
<!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. -->
<!-- 🔧 Launch with `code --disable-extensions` to check. -->
Does this issue occur when all extensions are disabled?: Yes

<!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. -->
<!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. -->
- VS Code Version: 1.101.0
- OS Version: 10

Steps to Reproduce:

1. Create a new workspace using the duplicate workspace in new window function, it creates a new workspace, but shows the root folder as a subfolder, this makes me seriously bothered and I am completely unable to do any work

Normal directory in VSCode:

![Image](https://github.com/user-attachments/assets/59e2c008-604a-4948-904a-5fc25541a0f5)

What is opened after using the duplicate:

![Image](https://github.com/user-attachments/assets/7929a3ef-fb3c-4fb2-a2d6-d1ffe6658788)
",https://github.com/microsoft/vscode/issues/251500,"*question, new release"
H,,https://github.com/microsoft/vscode/issues/251481,"invalid, triage-needed"
Hh,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions -->
<!-- 🔎 Search existing issues to avoid creating duplicates. -->
<!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ -->
<!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. -->
<!-- 🔧 Launch with `code --disable-extensions` to check. -->
Does this issue occur when all extensions are disabled?: Yes/No

<!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. -->
<!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. -->
- VS Code Version: 
- OS Version: 

Steps to Reproduce:

1. 
2. 
",https://github.com/microsoft/vscode/issues/251480,"invalid, triage-needed"
Support boolean type parse in yaml,"
Type: <b>Feature Request</b>

Now yaml parser recognize booleans as strings, hence no type specified highlight, hope it can be added.
I didn't find any extensions fix that

VS Code version: Code 1.101.0 (dfaf44141ea9deb3b4096f7cd6d24e00c147a4b1, 2025-06-11T15:00:50.123Z)
OS version: Windows_NT x64 10.0.19045
Modes:


Compared to sublime text:

![Image](https://github.com/user-attachments/assets/fe046779-a59d-4211-a16e-634441825608)

![Image](https://github.com/user-attachments/assets/d46bdb8c-a77d-4c4f-bc10-b45dfcf8dc6e)",https://github.com/microsoft/vscode/issues/251476,new release
Tool undefined completed,"cc @jooyoungseo @rperez030 

Roberto reported that after running a tool command and focusing the chat response, he heard `tool undefined completed`. 

Code pointer
https://github.com/microsoft/vscode/blob/07e1bdfeee5749b13049cb63f2d2a37a30ae8624/src/vs/workbench/contrib/chat/browser/chatAccessibilityProvider.ts#L91",https://github.com/microsoft/vscode/issues/251439,"bug, accessibility, insiders-released"
Terminal icon picker is really behaving strange,"Steps to Reproduce:

1. go to terminals
2. select to change the icon

🐛 🐛 🐛 

<img width=""554"" alt=""Image"" src=""https://github.com/user-attachments/assets/97a30d40-17e4-464e-9d51-36031960f620"" />

This widget seems nothing like anything we have in our UI normally (or is it maybe a hover?). It:
* is positioned wrongly, even though it has a beak
* its outline is cut off to the top making it look as if it goes outside of the window
* there is a ""add"" thing that I am not even sure what that is?

<img width=""500"" alt=""Image"" src=""https://github.com/user-attachments/assets/3f1320e3-8b2b-4215-9d21-dfef831e7890"" />
",https://github.com/microsoft/vscode/issues/251428,"bug, ux, unreleased, papercut :drop_of_blood:"
